Year,Tm,Wtm,Ltm,HR,BA,OBP,SLG,OPS
2015,SDP,74,88,148,0.243,0.3,0.385,0.685
2015,SEA,76,86,198,0.249,0.311,0.411,0.722
2015,SFG,84,78,136,0.267,0.326,0.406,0.732
2015,STL,100,62,137,0.253,0.321,0.394,0.716
2015,TEX,88,74,172,0.258,0.325,0.413,0.739
2015,TBR,80,82,167,0.252,0.314,0.406,0.72
2014,ARI,64,98,118,0.248,0.302,0.376,0.678
2014,ATL,79,83,123,0.241,0.305,0.36,0.665
2014,BAL,96,66,211,0.256,0.311,0.422,0.734
2014,TOR,83,79,177,0.259,0.323,0.414,0.736
2014,BOS,71,91,123,0.244,0.316,0.369,0.684
2014,WSN,96,66,152,0.253,0.321,0.393,0.714
2014,CHC,73,89,157,0.239,0.3,0.385,0.684
2014,CHW,73,89,155,0.253,0.31,0.398,0.708
2014,CIN,76,86,131,0.238,0.297,0.365,0.662
2014,CLE,85,77,142,0.253,0.317,0.389,0.706
2014,COL,66,96,186,0.276,0.327,0.445,0.772
2014,DET,90,72,155,0.277,0.331,0.426,0.757
2014,HOU,70,92,163,0.242,0.31,0.383,0.692
2014,KCR,89,73,95,0.263,0.314,0.376,0.69
2014,LAA,98,64,155,0.259,0.322,0.406,0.728
2014,LAD,94,68,134,0.266,0.333,0.406,0.738
2014,MIA,77,85,122,0.253,0.317,0.378,0.694
2014,MIL,82,80,150,0.25,0.311,0.397,0.708
2014,MIN,70,92,128,0.254,0.324,0.389,0.713
2014,NYM,79,83,125,0.239,0.308,0.364,0.673
2014,NYY,84,78,147,0.245,0.307,0.38,0.687
2014,OAK,88,74,146,0.244,0.32,0.381,0.7
2014,PHI,73,89,125,0.242,0.302,0.363,0.666
2014,PIT,88,74,156,0.259,0.33,0.404,0.734
2014,SDP,77,85,109,0.227,0.292,0.342,0.634
2014,SEA,87,75,136,0.244,0.3,0.376,0.676
2014,SFG,88,74,132,0.255,0.311,0.388,0.699
2014,STL,90,72,105,0.253,0.32,0.369,0.689
2014,TBR,77,85,117,0.247,0.317,0.367,0.684
2014,TEX,67,95,111,0.256,0.314,0.375,0.689
2013,ARI,81,81,130,0.259,0.323,0.392,0.715
2013,ATL,96,66,181,0.249,0.321,0.402,0.723
2013,BAL,85,77,212,0.26,0.313,0.431,0.744
2013,BOS,97,65,178,0.277,0.349,0.446,0.795
2013,CHC,66,96,172,0.238,0.301,0.392,0.693
2013,CHW,63,99,148,0.249,0.302,0.378,0.68
2013,CIN,90,72,155,0.249,0.327,0.391,0.718
2013,TOR,74,88,185,0.253,0.318,0.411,0.729
2013,CLE,92,70,171,0.255,0.327,0.41,0.737
2013,COL,74,88,159,0.27,0.323,0.419,0.741
2013,DET,93,69,176,0.283,0.346,0.434,0.78
2013,HOU,51,111,148,0.24,0.299,0.376,0.674
2013,KCR,86,76,112,0.26,0.315,0.379,0.694
2013,LAA,78,84,164,0.264,0.329,0.415,0.743
2013,LAD,92,70,138,0.264,0.326,0.396,0.722
2013,MIA,62,100,95,0.231,0.293,0.335,0.627
2013,MIL,74,88,157,0.252,0.311,0.398,0.708
2013,MIN,66,96,151,0.242,0.312,0.38,0.692
2013,WSN,86,76,161,0.251,0.313,0.398,0.71
2013,NYM,74,88,130,0.237,0.306,0.366,0.672
2013,NYY,85,77,144,0.242,0.307,0.376,0.683
2013,OAK,96,66,186,0.254,0.327,0.419,0.745
2013,PHI,73,89,140,0.248,0.306,0.384,0.69
2013,PIT,94,68,161,0.245,0.313,0.396,0.709
2013,SDP,76,86,146,0.245,0.308,0.378,0.686
2013,SEA,71,91,188,0.237,0.306,0.39,0.695
2013,SFG,76,86,107,0.26,0.32,0.381,0.702
2013,STL,97,65,125,0.269,0.332,0.402,0.733
2013,TBR,92,71,165,0.257,0.329,0.408,0.737
2013,TEX,91,72,176,0.262,0.323,0.412,0.735
2012,ARI,81,81,165,0.259,0.328,0.418,0.746
2012,ATL,94,68,149,0.247,0.32,0.389,0.709
2012,BAL,93,69,214,0.247,0.311,0.417,0.728
2012,BOS,69,93,165,0.26,0.315,0.415,0.73
2012,CHC,61,101,137,0.24,0.302,0.378,0.68
2012,CHW,85,77,211,0.255,0.318,0.422,0.74
2012,CIN,97,65,172,0.251,0.315,0.411,0.726
2012,CLE,68,94,136,0.251,0.324,0.381,0.705
2012,WSN,98,64,194,0.261,0.322,0.428,0.75
2012,COL,64,98,166,0.274,0.33,0.436,0.766
2012,DET,88,74,163,0.268,0.335,0.422,0.757
2012,HOU,55,107,146,0.236,0.302,0.371,0.673
2012,KCR,72,90,131,0.265,0.317,0.4,0.716
2012,LAA,89,73,187,0.274,0.332,0.433,0.764
2012,LAD,86,76,116,0.252,0.317,0.374,0.69
2012,MIA,69,93,137,0.244,0.308,0.382,0.69
2012,MIL,83,79,202,0.26,0.325,0.437,0.762
2012,MIN,66,96,131,0.26,0.325,0.39,0.715
2012,NYM,74,88,139,0.249,0.316,0.386,0.701
2012,NYY,95,67,245,0.265,0.337,0.453,0.79
2012,OAK,94,68,195,0.238,0.31,0.404,0.714
2012,PHI,81,81,158,0.255,0.317,0.4,0.716
2012,PIT,79,83,170,0.243,0.304,0.395,0.699
2012,SDP,76,86,121,0.247,0.319,0.38,0.699
2012,SEA,75,87,149,0.234,0.296,0.369,0.665
2012,TOR,73,89,198,0.245,0.309,0.407,0.716
2012,SFG,94,68,103,0.269,0.327,0.397,0.724
2012,STL,88,74,159,0.271,0.338,0.421,0.759
2012,TBR,90,72,175,0.24,0.317,0.394,0.711
2012,TEX,93,69,200,0.273,0.334,0.446,0.78
2011,ARI,94,68,172,0.25,0.322,0.413,0.736
2011,ATL,89,73,173,0.243,0.308,0.387,0.695
2011,BAL,69,93,191,0.257,0.316,0.413,0.729
2011,BOS,90,72,203,0.28,0.349,0.461,0.81
2011,CHC,71,91,148,0.256,0.314,0.401,0.715
2011,CHW,79,83,154,0.252,0.319,0.388,0.706
2011,CIN,79,83,183,0.256,0.326,0.408,0.734
2011,CLE,80,82,154,0.251,0.317,0.396,0.714
2011,COL,73,89,163,0.258,0.329,0.41,0.739
2011,DET,95,67,169,0.277,0.34,0.434,0.773
2011,FLA,72,90,149,0.247,0.318,0.388,0.706
2011,HOU,56,106,95,0.258,0.311,0.374,0.684
2011,TOR,81,81,186,0.249,0.317,0.413,0.73
2011,KCR,71,91,129,0.275,0.329,0.415,0.744
2011,LAA,86,76,155,0.253,0.313,0.402,0.715
2011,LAD,82,79,117,0.257,0.322,0.375,0.697
2011,MIL,96,66,185,0.261,0.325,0.425,0.75
2011,MIN,63,99,103,0.247,0.306,0.36,0.666
2011,NYM,77,85,108,0.264,0.335,0.391,0.726
2011,WSN,80,81,154,0.242,0.309,0.383,0.691
2011,NYY,97,65,222,0.263,0.343,0.444,0.788
2011,OAK,74,88,114,0.244,0.311,0.369,0.68
2011,PHI,102,60,153,0.253,0.323,0.395,0.717
2011,PIT,72,90,107,0.244,0.309,0.368,0.676
2011,SDP,71,91,91,0.237,0.305,0.349,0.653
2011,SEA,67,95,109,0.233,0.292,0.348,0.641
2011,SFG,86,76,121,0.242,0.303,0.368,0.671
2011,STL,90,72,162,0.274,0.341,0.425,0.766
2011,TBR,91,71,172,0.244,0.322,0.402,0.724
2011,TEX,96,66,210,0.283,0.34,0.46,0.8
